Model,Accuracy,Recall,Precision,AUC,F1
Random Forest Classifier,0.7299107142857143,0.2682354328851144,0.4336435070306038,0.8762426183852159,0.2921703976502195
Support Vector Machine,0.7008928571428571,0.16666666666666666,0.11681547619047618,0.7347222045721816,0.1373578302712161
Gradient Boosting Classifier,0.7254464285714286,0.26443343555870097,0.32417046605876393,0.8298535551218214,0.280537211867506
